EntityGlobalId,PSetName,PropName,PropValue
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,TypeDescription,Door: Description
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,StatusConstruction,Nytt
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,NetArea,3.00472500000082
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,Height,2110.0
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,Width,1010.0
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,Hyperlink,Door: URL
2DedXznHnDaeAWsrTB_q8y,Constraints,Level,Level: Floor 0
2DedXznHnDaeAWsrTB_q8y,Constraints,Sill Height,0.0
2DedXznHnDaeAWsrTB_q8y,Dimensions,Area,3.00472500000082
2DedXznHnDaeAWsrTB_q8y,Dimensions,Volume,0.129508875000006
2DedXznHnDaeAWsrTB_q8y,Identity Data,Mark,142
2DedXznHnDaeAWsrTB_q8y,Other,Category,Doors
2DedXznHnDaeAWsrTB_q8y,Other,Host Id,Basic Wall: Yttervägg Paroc
2DedXznHnDaeAWsrTB_q8y,Other,Family,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8y,Other,Family and Type,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8y,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_q8y,Other,Type,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8y,Other,Type Id,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8y,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_q8x,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_q8x,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_q8x,Pset_DoorCommon,Reference,D10
2DedXznHnDaeAWsrTB_q8x,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_q8x,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
2DedXznHnDaeAWsrTB_q8x,Pset_ProductRequirements,Category,Doors
2DedXznHnDaeAWsrTB_q8x,Pset_QuantityTakeOff,Reference,D10
2DedXznHnDaeAWsrTB_q8x,Dörrförteckning,Dörrtyp,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8x,Dörrförteckning,Våning,Level: Floor 0
2DedXznHnDaeAWsrTB_q8x,Dörrförteckning,Bredd,1010.0
2DedXznHnDaeAWsrTB_q8x,Dörrförteckning,Höjd,2110.0
2DedXznHnDaeAWsrTB_q8x,Dörrförteckning,Tillverkare,Door: Manufacturer
2DedXznHnDaeAWsrTB_q8x,Dörrförteckning,Littera,Door: Littera
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,SillHeight,0.0
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,TypeMark,Door: Type Mark
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,Keynote,Door: Keynote
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,StoreyName,Level: Floor 0
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,TypeDescription,Door: Description
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,StatusConstruction,Nytt
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,NetArea,3.00472500000082
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,Height,2110.0
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,Width,1010.0
2DedXznHnDaeAWsrTB_q8x,Custom_Pset,Hyperlink,Door: URL
2DedXznHnDaeAWsrTB_q8x,Constraints,Level,Level: Floor 0
2DedXznHnDaeAWsrTB_q8x,Constraints,Sill Height,0.0
2DedXznHnDaeAWsrTB_q8x,Dimensions,Area,3.00472500000082
2DedXznHnDaeAWsrTB_q8x,Dimensions,Volume,0.129508875000006
2DedXznHnDaeAWsrTB_q8x,Identity Data,Mark,143
2DedXznHnDaeAWsrTB_q8x,Other,Category,Doors
2DedXznHnDaeAWsrTB_q8x,Other,Host Id,Basic Wall: Yttervägg Paroc
2DedXznHnDaeAWsrTB_q8x,Other,Family,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8x,Other,Family and Type,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8x,Other,Type,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8x,Other,Type Id,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8x,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_q8x,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_q9D,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_q9D,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_q9D,Pset_DoorCommon,Reference,D9
2DedXznHnDaeAWsrTB_q9D,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_q9D,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
2DedXznHnDaeAWsrTB_q9D,Pset_ProductRequirements,Category,Doors
2DedXznHnDaeAWsrTB_q9D,Pset_QuantityTakeOff,Reference,D9
2DedXznHnDaeAWsrTB_q9D,Dörrförteckning,Dörrtyp,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_q9D,Dörrförteckning,Våning,Level: Floor 0
2DedXznHnDaeAWsrTB_q9D,Dörrförteckning,Bredd,910.0
2DedXznHnDaeAWsrTB_q9D,Dörrförteckning,Höjd,2110.0
2DedXznHnDaeAWsrTB_q9D,Dörrförteckning,Tillverkare,Door: Manufacturer
2DedXznHnDaeAWsrTB_q9D,Dörrförteckning,Littera,Door: Littera
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,SillHeight,0.0
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,TypeMark,Door: Type Mark
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,Keynote,Door: Keynote
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,StoreyName,Level: Floor 0
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,TypeDescription,Door: Description
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,StatusConstruction,Nytt
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,NetArea,3.05785000001149
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,Height,2110.0
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,Width,910.0
2DedXznHnDaeAWsrTB_q9D,Custom_Pset,Hyperlink,Door: URL
2DedXznHnDaeAWsrTB_q9D,Constraints,Level,Level: Floor 0
2DedXznHnDaeAWsrTB_q9D,Constraints,Sill Height,0.0
2DedXznHnDaeAWsrTB_q9D,Dimensions,Area,3.05785000001149
2DedXznHnDaeAWsrTB_q9D,Dimensions,Volume,0.134484500000629
2DedXznHnDaeAWsrTB_q9D,Identity Data,Mark,144
2DedXznHnDaeAWsrTB_q9D,Materials and Finishes,Dörrblad,Dörrar - dörrblad
2DedXznHnDaeAWsrTB_q9D,Other,Category,Doors
2DedXznHnDaeAWsrTB_q9D,Other,Family,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_q9D,Other,Family and Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_q9D,Other,Host Id,Basic Wall: Innervägg 170mm Paroc
2DedXznHnDaeAWsrTB_q9D,Other,Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_q9D,Other,Type Id,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_q9D,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_q9D,Phasing,Phase Created,Nytt
